chembl_id,shape_tanimoto,o3a_score,planarity,heavy_atoms,aromatic_rings,fused_rings,name
CHEMBL1201080,0.5317,,0.876,22,2,0,TRIMETHOPRIM HYDROCHLORIDE
CHEMBL1076903,0.531,77.4,0.652,16,2,3,VARENICLINE
CHEMBL122,0.5305,101.18,0.677,22,2,0,ROFECOXIB
CHEMBL535650,0.5288,,0.694,27,2,1,MEFLOQUINE HYDROCHLORIDE
CHEMBL197084,0.5279,101.59,0.928,22,0,0,TROFINETIDE
CHEMBL57,0.5278,96.32,0.788,20,2,2,NEVIRAPINE
CHEMBL820,0.5277,72.7,0.788,14,0,0,BUSULFAN
CHEMBL847,0.5255,88.82,0.762,20,1,1,OXAMNIQUINE
CHEMBL443052,0.5248,,0.131,11,1,1,TAVABOROLE
CHEMBL1555,0.5247,,0.599,22,1,4,GALANTAMINE HYDROBROMIDE
CHEMBL2105720,0.5247,84.84,1.196,24,3,1,LESINURAD
CHEMBL2105420,0.5235,82.8,0.886,17,0,0,TAUROLIDINE
CHEMBL1094636,0.5233,112.57,0.506,24,3,1,NIRAPARIB
CHEMBL4458276,0.5225,86.88,0.805,21,1,1,ENMETAZOBACTAM
CHEMBL814,0.5221,95.53,0.876,22,1,0,FLUVOXAMINE
CHEMBL19490,0.5219,90.49,1.044,20,2,0,ZOMEPIRAC
CHEMBL1018,0.5218,74.99,0.773,20,2,0,DIENESTROL
CHEMBL3286830,0.5209,114.36,0.956,30,3,3,LORLATINIB
CHEMBL1201102,0.5195,,0.609,25,2,2,TRIFLUPROMAZINE HYDROCHLORIDE
CHEMBL469,0.5178,92.29,0.739,19,2,1,KETOROLAC
CHEMBL2062163,0.517,111.14,0.747,24,1,0,PHENDIMETRAZINE TARTRATE
CHEMBL1413,0.5163,76.76,0.524,15,1,0,CICLOPIROX
CHEMBL1201165,0.5163,98.2,0.776,27,1,3,QUINESTROL
CHEMBL75880,0.5162,73.41,0.921,20,0,0,PERHEXILINE
CHEMBL196,0.5155,89.18,0.563,12,0,0,ASCORBIC ACID
CHEMBL1123,0.5143,86.39,0.976,22,0,0,DICYCLOMINE
CHEMBL1695,0.5124,,0.647,26,2,0,TIAGABINE HYDROCHLORIDE
CHEMBL1200821,0.5124,73.24,0.889,16,1,0,PROPYLIODONE
CHEMBL328560,0.5123,83.38,0.835,18,1,0,SULTHIAME
CHEMBL4585668,0.5121,108.57,1.303,26,2,1,BELZUTIFAN
CHEMBL1057,0.5119,85.61,1.077,25,3,3,FLUORESCEIN
CHEMBL1271,0.5116,76.7,0.812,17,0,0,PENTOLINIUM
CHEMBL271227,0.511,93.75,0.817,29,1,3,ABIRATERONE ACETATE
CHEMBL1434513,0.5109,84.89,0.78,23,1,0,NOREPINEPHRINE BITARTRATE
CHEMBL748,0.5109,68.84,0.0,11,1,0,PRALIDOXIME CHLORIDE
CHEMBL1079604,0.5103,87.0,0.623,16,1,0,METAXALONE
CHEMBL2107834,0.51,112.85,0.709,31,4,1,RIOCIGUAT
CHEMBL588,0.5099,85.86,0.661,21,2,1,FENOLDOPAM
CHEMBL159226,0.5099,73.79,0.883,20,1,0,MOXISYLYTE
CHEMBL4297610,0.5082,100.71,1.121,25,3,1,OLUTASIDENIB
CHEMBL56021,0.5079,85.5,0.652,12,0,0,LEVACETYLLEUCINE
CHEMBL1219,0.5079,103.25,0.552,25,3,1,RABEPRAZOLE
CHEMBL1945778,0.5079,77.82,1.094,23,1,1,IOFLUPANE
CHEMBL24924,0.5077,94.25,0.734,18,2,1,FLUINDIONE
CHEMBL1200979,0.5077,86.67,0.903,14,0,0,DEXPANTHENOL
