chembl_id,pharm_tanimoto,pharm_recall,n_bits,shape_tanimoto,o3a_score,planarity,heavy_atoms,aromatic_rings,fused_rings,name,shape_tanimoto_r,pharm_tanimoto_r,pharm_recall_r,consensus
CHEMBL1329455,0.0826,0.1333,101,0.5399,94.35,0.438,17,1,0,MOLSIDOMINE,0.7505938242280285,0.7790973871733967,0.497624703087886,0.6959
CHEMBL779,0.0481,0.2593,627,0.5599,107.03,0.946,29,3,4,TADALAFIL,0.8123515439429929,0.46318289786223277,0.7624703087885986,0.6951
CHEMBL1580,0.0277,0.3481,1609,0.5826,103.8,0.613,19,1,1,PENTOSTATIN,0.8883610451306413,0.24703087885985747,0.8788598574821853,0.6936
CHEMBL1292,0.1216,0.437,409,0.4679,106.63,0.91,33,5,2,CLOFAZIMINE,0.39667458432304037,0.9180522565320665,0.9560570071258907,0.6929
CHEMBL1289926,0.0903,0.3704,469,0.4871,104.39,1.134,28,4,1,AXITINIB,0.4845605700712589,0.8194774346793349,0.9097387173396675,0.6913
CHEMBL345714,0.1553,0.1852,51,0.4939,85.18,0.0,11,1,0,ACIPIMOX,0.5249406175771971,0.995249406175772,0.6199524940617577,0.6898
CHEMBL911,0.123,0.2296,148,0.491,101.6,0.587,23,3,1,ZOLPIDEM,0.5083135391923991,0.9263657957244655,0.7268408551068883,0.6884
CHEMBL1908307,0.0761,0.1037,63,0.5617,94.97,0.347,16,2,1,FLOSEQUINAN,0.8194774346793349,0.7185273159144893,0.41330166270783847,0.6876
CHEMBL2105689,0.0599,0.1259,166,0.573,98.99,1.097,21,2,0,LULICONAZOLE,0.8622327790973872,0.5914489311163895,0.47862232779097386,0.6851
CHEMBL2205807,0.0692,0.0815,35,0.5803,84.91,0.009,14,2,0,ABAMETAPIR,0.8836104513064132,0.663895486935867,0.342042755344418,0.6823
CHEMBL1201288,0.056,0.163,280,0.5653,100.45,0.125,23,2,0,DANTROLENE,0.828978622327791,0.5534441805225653,0.5676959619952494,0.681
CHEMBL847,0.0651,0.2296,372,0.5255,88.82,0.762,20,1,1,OXAMNIQUINE,0.6912114014251781,0.6270783847980997,0.7268408551068883,0.6809
CHEMBL3039502,0.0707,0.437,759,0.4938,116.05,1.34,30,5,2,DUVELISIB,0.5225653206650831,0.6817102137767221,0.9560570071258907,0.6787
CHEMBL1108,0.0678,0.1778,243,0.5365,129.66,0.734,28,3,1,DROPERIDOL,0.7315914489311164,0.6508313539192399,0.6092636579572447,0.6768
CHEMBL2107175,0.125,0.2,108,0.4903,92.49,1.319,23,1,0,RANELIC ACID,0.505938242280285,0.9334916864608076,0.669833729216152,0.6752
